datetime,x,y,N2O_ppb,comment,hour,transect
2019-03-29 10:55:32.500000+00:00,6.30409,53.278895,0.38700000000000045,,11,0
2019-03-29 10:55:33+00:00,6.304085000000001,53.278895,0.35199999999997544,,11,0
2019-03-29 10:55:33.500000+00:00,6.30408,53.2787317,0.34300000000001774,,11,0
2019-03-29 10:55:34+00:00,6.3040708500000004,53.2787317,0.3039999999999736,,11,0
2019-03-29 10:55:34.500000+00:00,6.3040617,53.2785667,0.3809999999999718,,11,0
2019-03-29 10:55:35+00:00,6.3040492,53.2785667,0.38700000000000045,,11,0
2019-03-29 10:55:35.500000+00:00,6.3040367,53.2783983,0.46699999999998454,,11,0
2019-03-29 10:55:36+00:00,6.304020850000001,53.2783983,0.5149999999999864,,11,0
2019-03-29 10:55:36.500000+00:00,6.304005,53.2782283,0.46399999999999864,,11,0
2019-03-29 10:55:37+00:00,6.30399085,53.2782283,0.5699999999999932,,11,0
2019-03-29 10:55:37.500000+00:00,6.3039767,53.2780583,0.7029999999999745,,11,0
2019-03-29 10:55:38+00:00,6.30396335,53.2780583,0.4339999999999691,,11,0
2019-03-29 10:55:38.500000+00:00,6.30395,53.277885,0.4420000000000073,,11,0
2019-03-29 10:55:39+00:00,6.30393585,53.277885,0.46100000000001273,,11,0
2019-03-29 10:55:39.500000+00:00,6.3039217,53.2777117,0.4519999999999982,,11,0
2019-03-29 10:55:40+00:00,6.30390585,53.2777117,0.47199999999998,,11,0
2019-03-29 10:55:40.500000+00:00,6.30389,53.27754,0.47199999999998,,11,0
2019-03-29 10:55:41+00:00,6.30387415,53.27754,0.5989999999999895,,11,0
2019-03-29 10:55:41.500000+00:00,6.3038583,53.2773717,0.6120000000000232,,11,0
2019-03-29 10:55:42+00:00,6.30384165,53.2773717,0.5289999999999964,,11,0
2019-03-29 10:55:42.500000+00:00,6.303825,53.2772017,0.5049999999999955,,11,0
2019-03-29 10:55:43+00:00,6.3038075,53.2772017,0.49500000000000455,,11,0
2019-03-29 10:55:43.500000+00:00,6.30379,53.2770333,0.4159999999999968,,11,0
2019-03-29 10:55:44+00:00,6.3037725,53.2770333,0.34899999999998954,,11,0
2019-03-29 10:55:44.500000+00:00,6.303755,53.2768667,0.4130000000000109,,11,0
2019-03-29 10:55:45+00:00,6.30373915,53.2768667,0.4130000000000109,,11,0
2019-03-29 10:55:45.500000+00:00,6.3037233,53.2767067,0.478999999999985,,11,0
2019-03-29 10:55:46+00:00,6.30371,53.2767067,0.396000000000015,,11,0
2019-03-29 10:55:46.500000+00:00,6.3036967,53.2765483,0.4300000000000068,,11,0
2019-03-29 10:55:47+00:00,6.30368835,53.2765483,0.4370000000000118,,11,0
2019-03-29 10:55:47.500000+00:00,6.30368,53.2763933,0.4259999999999877,,11,0
2019-03-29 10:55:48+00:00,6.30367915,53.2763933,0.4259999999999877,,11,0
2019-03-29 10:55:48.500000+00:00,6.3036783,53.2762417,0.5570000000000164,,11,0
2019-03-29 10:55:49+00:00,6.303683299999999,53.2762417,0.65300000000002,,11,0
2019-03-29 10:55:49.500000+00:00,6.3036883,53.2760917,0.5589999999999691,,11,0
2019-03-29 10:55:50+00:00,6.30369915,53.2760917,0.5160000000000196,,11,0
2019-03-29 10:56:27+00:00,6.303751699999999,53.2759467,0.5,,11,1
2019-03-29 10:56:27.500000+00:00,6.3037417,53.2760667,0.5489999999999782,,11,1
2019-03-29 10:56:28+00:00,6.303735,53.2760667,0.48399999999998045,,11,1
2019-03-29 10:56:28.500000+00:00,6.3037283,53.2761917,0.5240000000000009,,11,1
2019-03-29 10:56:29+00:00,6.30372665,53.2761917,0.45699999999999363,,11,1
